id,regionCode,riskLevel,diabetes,gender,smoker,age,systolic,cholesterol,cholesterolUnit,bmi,bmiUnit,hs,hsValue,riskLevelId
1,oc,null,0,M,0,70,180,3.9,mmol_L,.,kg/m^2,4,24,4
2,oc,null,0,M,0,70,180,4,mmol_L,.,kg/m^2,4,26,4
3,oc,null,0,M,0,70,180,5,mmol_L,.,kg/m^2,4,28,4
4,oc,null,0,M,0,70,180,6,mmol_L,.,kg/m^2,4,29,4
5,oc,null,0,M,0,70,180,7,mmol_L,.,kg/m^2,5,31,5
6,oc,null,0,M,0,70,160,3.9,mmol_L,.,kg/m^2,4,20,4
7,oc,null,0,M,0,70,160,4,mmol_L,.,kg/m^2,4,22,4
8,oc,null,0,M,0,70,160,5,mmol_L,.,kg/m^2,4,23,4
9,oc,null,0,M,0,70,160,6,mmol_L,.,kg/m^2,4,25,4
10,oc,null,0,M,0,70,160,7,mmol_L,.,kg/m^2,4,27,4
11,oc,null,0,M,0,70,140,3.9,mmol_L,.,kg/m^2,3,17,3
12,oc,null,0,M,0,70,140,4,mmol_L,.,kg/m^2,3,18,3
13,oc,null,0,M,0,70,140,5,mmol_L,.,kg/m^2,3,19,3
14,oc,null,0,M,0,70,140,6,mmol_L,.,kg/m^2,4,21,4
15,oc,null,0,M,0,70,140,7,mmol_L,.,kg/m^2,4,22,4
16,oc,null,0,M,0,70,120,3.9,mmol_L,.,kg/m^2,3,14,3
17,oc,null,0,M,0,70,120,4,mmol_L,.,kg/m^2,3,15,3
18,oc,null,0,M,0,70,120,5,mmol_L,.,kg/m^2,3,16,3
19,oc,null,0,M,0,70,120,6,mmol_L,.,kg/m^2,3,17,3
20,oc,null,0,M,0,70,120,7,mmol_L,.,kg/m^2,3,19,3
21,oc,null,0,M,0,70,119,3.9,mmol_L,.,kg/m^2,3,12,3
22,oc,null,0,M,0,70,119,4,mmol_L,.,kg/m^2,3,13,3
23,oc,null,0,M,0,70,119,5,mmol_L,.,kg/m^2,3,14,3
24,oc,null,0,M,0,70,119,6,mmol_L,.,kg/m^2,3,15,3
25,oc,null,0,M,0,70,119,7,mmol_L,.,kg/m^2,3,16,3
26,oc,null,0,M,1,70,180,3.9,mmol_L,.,kg/m^2,4,29,4
27,oc,null,0,M,1,70,180,4,mmol_L,.,kg/m^2,5,31,5
28,oc,null,0,M,1,70,180,5,mmol_L,.,kg/m^2,5,33,5
29,oc,null,0,M,1,70,180,6,mmol_L,.,kg/m^2,5,35,5
30,oc,null,0,M,1,70,180,7,mmol_L,.,kg/m^2,5,38,5
31,oc,null,0,M,1,70,160,3.9,mmol_L,.,kg/m^2,4,25,4
32,oc,null,0,M,1,70,160,4,mmol_L,.,kg/m^2,4,26,4
33,oc,null,0,M,1,70,160,5,mmol_L,.,kg/m^2,4,28,4
34,oc,null,0,M,1,70,160,6,mmol_L,.,kg/m^2,5,30,5
35,oc,null,0,M,1,70,160,7,mmol_L,.,kg/m^2,5,32,5
36,oc,null,0,M,1,70,140,3.9,mmol_L,.,kg/m^2,4,21,4
37,oc,null,0,M,1,70,140,4,mmol_L,.,kg/m^2,4,22,4
38,oc,null,0,M,1,70,140,5,mmol_L,.,kg/m^2,4,24,4
39,oc,null,0,M,1,70,140,6,mmol_L,.,kg/m^2,4,26,4
40,oc,null,0,M,1,70,140,7,mmol_L,.,kg/m^2,4,27,4
41,oc,null,0,M,1,70,120,3.9,mmol_L,.,kg/m^2,3,17,3
42,oc,null,0,M,1,70,120,4,mmol_L,.,kg/m^2,3,19,3
43,oc,null,0,M,1,70,120,5,mmol_L,.,kg/m^2,4,20,4
44,oc,null,0,M,1,70,120,6,mmol_L,.,kg/m^2,4,21,4
45,oc,null,0,M,1,70,120,7,mmol_L,.,kg/m^2,4,23,4
46,oc,null,0,M,1,70,119,3.9,mmol_L,.,kg/m^2,3,14,3
47,oc,null,0,M,1,70,119,4,mmol_L,.,kg/m^2,3,16,3
48,oc,null,0,M,1,70,119,5,mmol_L,.,kg/m^2,3,17,3
49,oc,null,0,M,1,70,119,6,mmol_L,.,kg/m^2,3,18,3
