diagnosis_id,code,display
1,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
2,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
3,A00.9,"Cholera, unspecified"
4,A01.0,Typhoid fever
5,A01.1,Paratyphoid fever A
6,A01.2,Paratyphoid fever B
7,A01.3,Paratyphoid fever C
8,A01.4,"Paratyphoid fever, unspecified"
9,A02.0,Salmonella enteritis
10,A02.1,Salmonella septicaemia
11,A02.2,Localized salmonella infections
12,A02.8,Other specified salmonella infections
13,A02.9,"Salmonella infection, unspecified"
14,A03.0,Shigellosis due to Shigella dysenteriae
15,A03.1,Shigellosis due to Shigella flexneri
16,A03.2,Shigellosis due to Shigella boydii
17,A03.3,Shigellosis due to Shigella sonnei
18,A03.8,Other shigellosis
19,A03.9,"Shigellosis, unspecified"
20,A04.0,Enteropathogenic Escherichia coli infection
21,A04.1,Enterotoxigenic Escherichia coli infection
22,A04.2,Enteroinvasive Escherichia coli infection
23,A04.3,Enterohaemorrhagic Escherichia coli infection
24,A04.4,Other intestinal Escherichia coli infections
25,A04.5,Campylobacter enteritis
26,A04.6,Enteritis due to Yersinia enterocolitica
27,A04.7,Enterocolitis due to Clostridium difficile
28,A04.8,Other specified bacterial intestinal infections
29,A04.9,"Bacterial intestinal infection, unspecified"
30,A05.0,Foodborne staphylococcal intoxication
31,A05.1,Botulism
32,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
33,A05.3,Foodborne Vibrio parahaemolyticus intoxication
34,A05.4,Foodborne Bacillus cereus intoxication
35,A05.8,Other specified bacterial foodborne intoxications
36,A05.9,"Bacterial foodborne intoxication, unspecified"
37,A06.0,Acute amoebic dysentery
38,A06.1,Chronic intestinal amoebiasis
39,A06.2,Amoebic nondysenteric colitis
40,A06.3,Amoeboma of intestine
41,A06.4,Amoebic liver abscess
42,A06.5,Amoebic lung abscess
43,A06.6,Amoebic brain abscess
44,A06.7,Cutaneous amoebiasis
45,A06.8,Amoebic infection of other sites
46,A06.9,"Amoebiasis, unspecified"
47,A07.0,Balantidiasis
48,A07.1,Giardiasis [lambliasis]
49,A07.2,Cryptosporidiosis
50,A07.3,Isosporiasis
51,A07.8,Other specified protozoal intestinal diseases
52,A07.9,"Protozoal intestinal disease, unspecified"
53,A08.0,Rotaviral enteritis
54,A08.1,Acute gastroenteropathy due to Norwalk agent
55,A08.2,Adenoviral enteritis
56,A08.3,Other viral enteritis
57,A08.4,"Viral intestinal infection, unspecified"
58,A08.5,Other specified intestinal infections
59,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
60,A15.1,"Tuberculosis of lung, confirmed by culture only"
61,A15.2,"Tuberculosis of lung, confirmed histologically"
62,A15.3,"Tuberculosis of lung, confirmed by unspecified means"
63,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
64,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
65,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
66,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
67,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
68,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
69,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative"
70,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done"
71,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
72,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
73,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
74,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
75,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
76,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
77,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
78,A17.0,Tuberculous meningitis
79,A17.1,Meningeal tuberculoma
80,A17.8,Other tuberculosis of nervous system
81,A17.9,"Tuberculosis of nervous system, unspecified"
82,A18.0,Tuberculosis of bones and joints
83,A18.1,Tuberculosis of genitourinary system
84,A18.2,Tuberculous peripheral lymphadenopathy
85,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
86,A18.4,Tuberculosis of skin and subcutaneous tissue
87,A18.5,Tuberculosis of eye
88,A18.6,Tuberculosis of ear
89,A18.7,Tuberculosis of adrenal glands
90,A18.8,Tuberculosis of other specified organs
91,A19.0,Acute miliary tuberculosis of a single specified site
92,A19.1,Acute miliary tuberculosis of multiple sites
93,A19.2,"Acute miliary tuberculosis, unspecified"
94,A19.8,Other miliary tuberculosis
95,A19.9,"Miliary tuberculosis, unspecified"
96,A20.0,Bubonic plague
97,A20.1,Cellulocutaneous plague
98,A20.2,Pneumonic plague
99,A20.3,Plague meningitis
100,A20.7,Septicaemic plague
101,A20.8,Other forms of plague
